country_na,iso_a3,mean
Hong Kong,,139.55999692998174
Macau,,5.624944320712695
Taiwan,,771.7407212820227
Senkakus,,-73.19471947194721
Japan,,87.79589209511168
China,,828.3900631486875
China,,3504.830121767898
China,,3949.4115551182995
China,,444.88022989280046
Bhutan,,2742.2712240313394
Aksai Chin,,5313.2409762956495
Pakistan,,353.24216205578824
Demchok Area,,4902.880137522869
IN-CH Small Disputed Areas,,5011.596212181553
Nepal,,2112.655209488592
Kalapani Area,,4763.5254773471925
Dramana-Shakatoe Area,,4614.071350552557
Sri Lanka,,175.7599584748693
India,,503.57901077732595
Bangladesh,,28.935611848634274
Palau,,42.89619043987266
Indonesia,,350.680744633971
Paracel Is,,-6.009487666034157
Singapore,,16.214217437811513
Brunei,,99.17761826133668
Philippines,,330.2084978983168
Spratly Is,,-156.87931034482762
Timor-Leste,,466.25232846595884
Malaysia,,280.10463663922616
Thailand,,286.2394731835152
Burma,,591.7076959295963
Laos,,670.3643392930195
Cambodia,,125.85362314346442
Vietnam,,395.1426302147546
Iran,,336.20557781442886
