country_na,iso_a3,mean
Hong Kong,,5.219892555200937
Macau,,0.6403734900278226
Taiwan,,7.955699201323751
Senkakus,,1.2811481594804945
Japan,,3.142934522248969
China,,2.037128661739313
China,,3.302695022490861
China,,7.239352561331699
China,,3.648642800216545
Bhutan,,14.2851845758416
Aksai Chin,,9.111982182009394
Pakistan,,1.2175040824711492
Demchok Area,,8.917897352181495
IN-CH Small Disputed Areas,,14.007288272675153
Nepal,,11.613984967056954
Kalapani Area,,14.733000162657797
Dramana-Shakatoe Area,,8.307873919044297
Sri Lanka,,1.6677661187780781
India,,1.9996295071545311
Bangladesh,,0.31882681503266574
Palau,,2.175807535946384
Indonesia,,3.188414578981075
Paracel Is,,0.5299788122207054
Singapore,,0.41617307840240414
Brunei,,1.3034542559279365
Philippines,,4.04425889642957
Spratly Is,,7.976307202783501
Timor-Leste,,5.522992686741225
Malaysia,,3.153307975495367
Thailand,,2.1076227519649895
Burma,,4.312047005713831
Laos,,4.816124702004573
Cambodia,,1.0077915276561709
Vietnam,,3.9676590367510136
Iran,,1.2137850566869761
