country_na,iso_a3,mean
Hong Kong,,0.13873651974667534
Macau,,0.8711248892825509
Taiwan,,0.07485912344460331
Senkakus,,0.0
Japan,,0.02970010378110649
China,,0.06321282646218451
China,,0.002651851161809597
China,,0.0033548779767613767
China,,0.04122596335199789
Bhutan,,2.7733124101819853E-4
Aksai Chin,,0.0
Pakistan,,0.010271130043017765
Demchok Area,,0.0
IN-CH Small Disputed Areas,,0.0
Nepal,,0.004394218439208959
Kalapani Area,,0.0
Dramana-Shakatoe Area,,0.0
Sri Lanka,,0.005834588747593895
India,,0.013627508900237312
Bangladesh,,0.0076988135788669775
Palau,,0.004311790351171367
Indonesia,,0.008081529130636507
Paracel Is,,0.0
Singapore,,0.4827486244372699
Brunei,,0.015414947852190521
Philippines,,0.009735737832953792
Spratly Is,,0.0
Timor-Leste,,0.002531507891567336
Malaysia,,0.012599085761922816
Thailand,,0.017006007872906067
Burma,,0.0026893452443937592
Laos,,0.0016674103284443876
Cambodia,,0.004888430735591275
Vietnam,,0.023710915051471007
Iran,,0.0
