country_na,iso_a3,mean
Hong Kong,,90.8554198284902
Macau,,90.46834061135371
Taiwan,,75.72282593667887
Senkakus,,50.0
Japan,,91.86782515347713
China,,66.63355931396686
China,,83.71927446357292
China,,86.97832712501537
China,,72.60923448785088
Bhutan,,75.17482559902884
Aksai Chin,,94.35669530545407
Pakistan,,53.09635659168642
Demchok Area,,70.2528493035037
IN-CH Small Disputed Areas,,59.45371947756967
Nepal,,52.37468656546765
Kalapani Area,,33.90909090909091
Dramana-Shakatoe Area,,46.77777777777777
Sri Lanka,,80.30881636216436
India,,58.794230255104004
Bangladesh,,56.322643100427264
Palau,,96.64571121269155
Indonesia,,85.28490534352532
Paracel Is,,97.81190476190476
Singapore,,81.65795837608059
Brunei,,90.29748630995506
Philippines,,89.0683109312814
Spratly Is,,
Timor-Leste,,88.71440436446507
Malaysia,,83.52224128594412
Thailand,,66.50655671081388
Burma,,68.6613948167263
Laos,,75.54012871458337
Cambodia,,61.49984110917585
Vietnam,,58.647017428270736
Iran,,30.179871948779507
