country_na,iso_a3,mean
Hong Kong,,0.0027773615795878533
Macau,,0.0
Taiwan,,0.10318326666381399
Senkakus,,0.0
Japan,,0.152237529564253
China,,0.34641279867996105
China,,0.03873001639562767
China,,0.032921792375757736
China,,0.23111821782444827
Bhutan,,0.002343066925736897
Aksai Chin,,0.0
Pakistan,,0.3457899557430366
Demchok Area,,0.0
IN-CH Small Disputed Areas,,0.0
Nepal,,0.11461839224838
Kalapani Area,,0.0
Dramana-Shakatoe Area,,0.0
Sri Lanka,,0.10237466743569935
India,,0.5320738148303626
Bangladesh,,0.5146700237110324
Palau,,0.0
Indonesia,,0.03555088996203013
Paracel Is,,0.0
Singapore,,0.0027681778909553916
Brunei,,0.001348025159620681
Philippines,,0.09997265335011268
Spratly Is,,0.0
Timor-Leste,,0.010285313980949515
Malaysia,,0.0099785224184137
Thailand,,0.3545746109581442
Burma,,0.18988556263008313
Laos,,0.06415450096765596
Cambodia,,0.3426401161584384
Vietnam,,0.1534816041935907
Iran,,0.01927482743136697
