country_na,iso_a3,mean
Hong Kong,,0.7372725578403817
Macau,,0.0
Taiwan,,0.7750571892169984
Senkakus,,0.7450331125827814
Japan,,0.6855477014489266
China,,0.1346752385987309
China,,0.008804804898808508
China,,0.23404606379599813
China,,0.6619136264590573
Bhutan,,0.7827664838587826
Aksai Chin,,0.0
Pakistan,,0.009981207429335533
Demchok Area,,0.0
IN-CH Small Disputed Areas,,0.0
Nepal,,0.5708664401724204
Kalapani Area,,0.0
Dramana-Shakatoe Area,,0.010113658254671545
Sri Lanka,,0.7766990001443398
India,,0.26484133982664004
Bangladesh,,0.378755739102873
Palau,,0.7505102285248885
Indonesia,,0.8771379377011307
Paracel Is,,0.0
Singapore,,0.32678141057705434
Brunei,,0.9225785315292868
Philippines,,0.7969441020339401
Spratly Is,,0.0
Timor-Leste,,0.7325078655357447
Malaysia,,0.9297989256708546
Thailand,,0.5765802605086109
Burma,,0.6972110299252041
Laos,,0.836141943089029
Cambodia,,0.4840339176199629
Vietnam,,0.7004223653930681
Iran,,0.0
