country_na,iso_a3,mean
Hong Kong,,0.030466925643452544
Macau,,0.0
Taiwan,,0.015569533775698256
Senkakus,,0.0
Japan,,0.03200288627283295
China,,0.35329766067969565
China,,0.30419425169150854
China,,0.4023571650212134
China,,0.03729418959185005
Bhutan,,0.10631189723156002
Aksai Chin,,0.0024540807962672535
Pakistan,,0.010387838755059638
Demchok Area,,0.021338805953681334
IN-CH Small Disputed Areas,,0.041496520582895165
Nepal,,0.13368958707450868
Kalapani Area,,0.17451977401129937
Dramana-Shakatoe Area,,0.709818275219932
Sri Lanka,,0.08308620139252355
India,,0.08339085781364429
Bangladesh,,0.0031153207469358166
Palau,,0.021990130790973974
Indonesia,,0.03629593093097808
Paracel Is,,0.0
Singapore,,0.07914601427856852
Brunei,,0.011023483982560705
Philippines,,0.05313256182637165
Spratly Is,,0.0
Timor-Leste,,0.23440391906906907
Malaysia,,0.013859659395751789
Thailand,,0.032020735393574154
Burma,,0.08282909257517897
Laos,,0.08606345111829956
Cambodia,,0.12510326061158464
Vietnam,,0.0803304291972102
Iran,,0.0
