country_na,iso_a3,mean
Hong Kong,,0.08815199476686604
Macau,,0.1288751107174491
Taiwan,,0.02668984237859926
Senkakus,,0.25496688741721857
Japan,,0.09825799181331867
China,,0.015641384565687356
China,,0.026158901434159956
China,,0.019318926640819283
China,,0.024321596415206207
Bhutan,,0.0015614153404360101
Aksai Chin,,0.03776054728693172
Pakistan,,0.020943377264191248
Demchok Area,,0.003378460384186776
IN-CH Small Disputed Areas,,0.0011514811989983597
Nepal,,0.0036992065317642043
Kalapani Area,,0.014406779661016944
Dramana-Shakatoe Area,,0.0
Sri Lanka,,0.027198892855148586
India,,0.01778116171906148
Bangladesh,,0.057639981110673366
Palau,,0.13466200354524974
Indonesia,,0.019785826940960104
Paracel Is,,1.0
Singapore,,0.09469783093083535
Brunei,,0.02193820309894175
Philippines,,0.030147579980164544
Spratly Is,,1.0
Timor-Leste,,0.015675657703637276
Malaysia,,0.016666828698174953
Thailand,,0.013936847367931384
Burma,,0.015483745578408174
Laos,,0.011506143339234838
Cambodia,,0.024275049703473262
Vietnam,,0.034125807194614895
Iran,,0.0030947060973126627
