country_na,iso_a3,mean
Hong Kong,,4.8670857804615775
Macau,,0.0
Taiwan,,62.622793449369134
Senkakus,,
Japan,,720.1532039050592
China,,79.28530902924693
China,,1179.9338581597606
China,,675.1804896080114
China,,105.99153927975578
Bhutan,,494.98885727713747
Aksai Chin,,985.9939375551045
Pakistan,,153.36102969273145
Demchok Area,,954.0784006566118
IN-CH Small Disputed Areas,,580.4689516455629
Nepal,,334.9542760410472
Kalapani Area,,836.5554676014923
Dramana-Shakatoe Area,,196.49003050248834
Sri Lanka,,62.77256703079472
India,,79.65544237233978
Bangladesh,,36.46504718889561
Palau,,2858.3280288028805
Indonesia,,444.7491890348769
Paracel Is,,941.0
Singapore,,1.3907970839432138
Brunei,,242.95547917221654
Philippines,,120.24944694930687
Spratly Is,,
Timor-Leste,,163.84124324397683
Malaysia,,297.5732432244095
Thailand,,114.08949964807321
Burma,,327.88038361706384
Laos,,338.61282172037306
Cambodia,,210.36225517074442
Vietnam,,92.16062200129817
Iran,,232.17711145761916
