country_na,iso_a3,mean
Hong Kong,,72.98934182221052
Macau,,10.339564457831578
Taiwan,,114.26036435902964
Senkakus,,17.753241625732475
Japan,,45.285492023789324
China,,26.978018509031514
China,,44.648058148308785
China,,101.2692312864331
China,,51.28669927612529
Bhutan,,203.02688926998903
Aksai Chin,,124.96273811219376
Pakistan,,17.175918285204123
Demchok Area,,122.1138398945893
IN-CH Small Disputed Areas,,195.1574075417031
Nepal,,166.40731435299585
Kalapani Area,,200.3192524660913
Dramana-Shakatoe Area,,118.61844393649069
Sri Lanka,,24.97127842180887
India,,28.605657140068217
Bangladesh,,4.636001509669375
Palau,,32.105041703946746
Indonesia,,47.498774760079286
Paracel Is,,6.435690121575901
Singapore,,6.186475481889085
Brunei,,19.846898660728524
Philippines,,59.492475579410375
Spratly Is,,137.22853257036323
Timor-Leste,,81.1203220065409
Malaysia,,47.267861608969085
Thailand,,30.9177792319396
Burma,,61.68236291539813
Laos,,70.11363959155496
Cambodia,,14.944564260130656
Vietnam,,57.83426237136284
Iran,,18.164167777019653
