country,latitude,longitude
China,35,105
India,20,77
Indonesia,-0.8,113.2
Malaysia,4,102
Singapore,1.3,103.8
Thailand,15,100
Vietnam,16,108
Philippines,13,122
Myanmar,22,96
Bangladesh,24,90
Sri Lanka,7,81
Pakistan,30,70
Iran,32,53
Oman,21,57
UAE,24,54
Saudi Arabia,24,45
Yemen,15,48
Djibouti,11.5,43
Somalia,10,49
Kenya,1,38
Tanzania,-6,35
Mozambique,-18,35
South Africa,-30,25
Egypt,26,29
Greece,39,22
Italy,42,12
France,46,2
Spain,40,-4
Portugal,39,-8
Netherlands,52,5
Germany,51,10
Belgium,50.5,4.5
United Kingdom,55,-3
Russia,60,90
Japan,36,138
South Korea,36,128
Australia,-25,135
New Zealand,-41,174
Cambodia,13,105
Brunei,4.5,114.5
East Timor,-8.5,125.5
Maldives,3.2,73
Kuwait,29.5,47.5
Qatar,25.5,51
Bahrain,26,50.5
